Lab	UsedReads	BioSample	Library_Preps	Platform	Data_Category
Bambu	35404729	H1-mix	CapTrap	ONT	LO
Bambu	4249221	H1-mix	CapTrap	PacBio	LO
Bambu	25663374	H1-mix	cDNA	ONT	LO
Bambu	303483	H1-mix	cDNA	PacBio	LO
Bambu	174996	H1-mix	dRNA	ONT	LO
Bambu	292192	H1-mix	R2C2	ONT	LO
Bambu	40112014	WTC11	CapTrap	ONT	LO
Bambu	5202966	WTC11	CapTrap	PacBio	LO
Bambu	26374231	WTC11	cDNA	ONT	LO
Bambu	5209366	WTC11	cDNA	PacBio	LO
Bambu	1513552	WTC11	dRNA	ONT	LO
Bambu	3941876	WTC11	R2C2	ONT	LO
Bambu	30245391	Mouse ES	CapTrap	ONT	LO
Bambu	3376435	Mouse ES	CapTrap	PacBio	LO
Bambu	11729820	Mouse ES	cDNA	ONT	LO
Bambu	5474506	Mouse ES	cDNA	PacBio	LO
Bambu	1734956	Mouse ES	dRNA	ONT	LO
Bambu	4201201	Mouse ES	R2C2	ONT	LO
FLAIR	22713195	H1-mix	cDNA	ONT	LO
FLAIR	5296354	human-sim	cDNA	ONT	LO
FLAIR	21487782	Mouse ES	cDNA	ONT	LS
FLAIR	22751092	H1-mix	cDNA	ONT	LS
FLAIR	6535057	human-sim	cDNA	ONT	LS
FLAIR	22635798	WTC11	cDNA	ONT	LS
FLAIR	22736252	WTC11	cDNA	ONT	LO
FLAIR	2043476	Mouse ES	dRNA	ONT	LO
FLAIR	1771598	H1-mix	dRNA	ONT	LO
FLAIR	2035539	Mouse ES	dRNA	ONT	LS
FLAIR	1742235	H1-mix	dRNA	ONT	LS
FLAIR	4028779	mouse-sim	dRNA	ONT	LS
FLAIR	1310142	WTC11	dRNA	ONT	LS
FLAIR	3848634	mouse-sim	dRNA	ONT	LO
FLAIR	1338951	WTC11	dRNA	ONT	LO
FLAIR	5704726	Mouse ES	cDNA	PacBio	LO
FLAIR	3537585	H1-mix	cDNA	PacBio	LO
FLAIR	8510024	human-sim	cDNA	PacBio	LO
FLAIR	5755983	Mouse ES	cDNA	PacBio	LS
FLAIR	3775709	H1-mix	cDNA	PacBio	LS
FLAIR	9372907	human-sim	cDNA	PacBio	LS
FLAIR	16234426	mouse-sim	cDNA	PacBio	LS
FLAIR	5064228	WTC11	cDNA	PacBio	LS
FLAIR	15642465	mouse-sim	cDNA	PacBio	LO
FLAIR	5040406	WTC11	cDNA	PacBio	LO
LyRic	1605106	Mouse ES	CapTrap	ONT	LO
LyRic	2121389	H1-mix	CapTrap	ONT	LO
LyRic	2012094	WTC11	CapTrap	ONT	LO
LyRic	482603	Mouse ES	CapTrap	PacBio	LO
LyRic	604314	H1-mix	CapTrap	PacBio	LO
LyRic	636854	WTC11	CapTrap	PacBio	LO
LyRic	1568823	Mouse ES	cDNA	ONT	LO
LyRic	1497712	H1-mix	cDNA	ONT	LO
LyRic	6167085	human-simulation	cDNA	ONT	LO
LyRic	1393259	WTC11	cDNA	ONT	LO
LyRic	1535355	Mouse ES	cDNA	PacBio	LO
LyRic	905569	H1-mix	cDNA	PacBio	LO
LyRic	9420849	human-simu	cDNA	PacBio	LO
LyRic	19105414	mouse-sim	cDNA	PacBio	LO
LyRic	1173088	WTC11	cDNA	PacBio	LO
LyRic	48736	Mouse ES	dRNA	ONT	LO
LyRic	47029	H1-mix	dRNA	ONT	LO
