Lab	one	two	three	four	five	six	over six	Total
Bambu	160240146	5426365	298187	17480	1028	70	8	165983284
FLAIR	245038484	0	0	0	0	0	0	245038484
FLAMES	49830469	60198875	73149299	111182885	9816018	869499	92448	305139493
Iso_IB	3978115	4270963	3761216	2825297	2457667	2096402	19736364	39126024
IsoQuant	262279375	17748663	6424292	2612161	1424454	580778	2468066	293537789
IsoTools	44790220	18535	0	0	0	0	0	44808755
LyRic	53811488	0	0	0	0	0	0	53811488
Mandalorion	72319570	254	0	0	0	0	0	72319824
Spectrra	42439385	0	0	0	0	0	0	42439385
StringTie2	44375109	0	0	0	0	0	0	44375109
TALON-LAPA	117582540	0	0	0	0	0	0	117582540
